ID_merge;appid;id_developer
1;10;16413
2;20;16413
3;30;16413
4;40;16413
5;50;6115
6;60;16413
7;70;16413
8;80;16413
9;130;6115
10;220;16413
11;240;16413
12;280;16413
13;300;16413
14;320;16413
15;340;16413
16;360;16413
17;380;16413
18;400;16413
19;420;16413
20;440;16413
21;500;16413
22;550;16413
23;570;16413
24;620;16413
25;630;16413
26;730;6917
27;730;16413
28;1002;9571
29;1200;16040
30;1250;16040
31;1300;12998
32;1500;7535
33;1510;7535
34;1520;7535
35;1530;7535
36;1600;14238
37;1610;9470
38;1630;14684
39;1640;14684
40;1670;14684
41;1690;9470
42;1700;1182
43;1840;16413
44;1900;12673
45;1930;12673
46;2100;1182
47;2200;7224
48;2210;12621
49;2270;7224
50;2280;7224
51;2290;7224
52;2300;7224
53;2310;7224
54;2320;7224
55;2330;17259
56;2340;13133
57;2350;7224
58;2360;12617
59;2370;12617
60;2390;12617
61;2400;11411
62;2450;11411
63;2500;5759
64;2520;2947
65;2590;1949
66;2600;16055
67;2610;10657
68;2620;7442
69;2630;1303
70;2630;7442
71;2640;6429
72;2710;5021
73;2720;7570
74;2780;2162
75;2800;4704
76;2810;4704
77;2820;4704
78;2840;4704
79;2850;4704
80;2870;4704
81;2900;14238
82;2910;14238
83;2920;14238
84;2990;2427
85;3010;15290
86;3020;15290
87;3050;15290
88;3130;49
89;3170;8268
90;3230;9861
91;3260;8360
92;3270;10061
93;3330;12172
94;3410;12172
95;3480;12172
96;3483;12172
97;3490;12896
98;3500;14391
99;3510;14391
100;3520;14391
101;3530;14391
102;3540;12172
103;3560;12172
104;3570;14391
105;3580;12172
106;3590;12172
107;3600;14391
108;3610;14391
109;3620;12172
110;3700;12693
111;3710;12693
112;3720;4783
113;3730;12693
114;3800;6288
115;3810;15355
116;3820;15355
117;3830;4328
118;3900;5382
119;3910;5382
120;3920;5382
121;3960;12178
122;3980;5382
123;3980;5398
124;3990;5382
125;4000;5187
126;4100;5813
127;4230;13887
128;4290;13887
129;4300;10481
130;4420;10251
131;4460;10251
132;4470;10251
133;4500;6550
134;4520;11505
135;4530;11505
136;4560;12832
137;4570;12832
138;4580;12832
139;4700;3371
140;4700;5322
141;4700;5323
142;4720;10235
143;4760;3371
144;4770;15420
145;4780;5322
146;4780;5323
147;4780;15420
148;4800;6550
149;4850;6550
150;4870;6550
151;4880;6550
152;4890;6550
153;4900;16301
154;4920;16301
155;6000;9184
156;6010;9184
157;6020;1303
158;6020;12617
159;6030;1303
160;6030;12617
161;6040;9184
162;6060;11505
163;6080;5736
164;6090;11995
165;6120;8455
166;6200;13822
167;6210;3922
168;6220;2427
169;6250;10406
170;6270;1234
171;6300;5805
172;6310;5805
173;6370;14804
174;6400;10310
175;6420;10137
176;6420;15625
177;6510;2585
178;6550;2585
179;6800;12380
180;6810;12380
181;6830;12380
182;6840;12380
183;6850;7568
184;6860;7568
185;6870;4707
