ID_merge,appid,id_developer,weights
1,10,16413,1.0
2,20,16413,1.0
3,30,16413,1.0
4,40,16413,1.0
5,50,6115,1.0
6,60,16413,1.0
7,70,16413,1.0
8,80,16413,1.0
9,130,6115,1.0
10,220,16413,1.0
11,240,16413,1.0
12,280,16413,1.0
13,300,16413,1.0
14,320,16413,1.0
15,340,16413,1.0
16,360,16413,1.0
17,380,16413,1.0
18,400,16413,1.0
19,420,16413,1.0
20,440,16413,1.0
21,500,16413,1.0
22,550,16413,1.0
23,570,16413,1.0
24,620,16413,1.0
25,630,16413,1.0
26,730,6917,0.5
27,730,16413,0.5
28,1002,9571,1.0
29,1200,16040,1.0
30,1250,16040,1.0
31,1300,12998,1.0
32,1500,7535,1.0
33,1510,7535,1.0
34,1520,7535,1.0
35,1530,7535,1.0
36,1600,14238,1.0
37,1610,9470,1.0
38,1630,14684,1.0
39,1640,14684,1.0
40,1670,14684,1.0
41,1690,9470,1.0
42,1700,1182,1.0
43,1840,16413,1.0
44,1900,12673,1.0
45,1930,12673,1.0
46,2100,1182,1.0
47,2200,7224,1.0
48,2210,12621,1.0
49,2270,7224,1.0
50,2280,7224,1.0
51,2290,7224,1.0
52,2300,7224,1.0
53,2310,7224,1.0
54,2320,7224,1.0
55,2330,17259,1.0
56,2340,13133,1.0
57,2350,7224,1.0
58,2360,12617,1.0
59,2370,12617,1.0
60,2390,12617,1.0
61,2400,11411,1.0
62,2450,11411,1.0
63,2500,5759,1.0
64,2520,2947,1.0
65,2590,1949,1.0
66,2600,16055,1.0
67,2610,10657,1.0
68,2620,7442,1.0
69,2630,1303,0.5
70,2630,7442,0.5
71,2640,6429,1.0
72,2710,5021,1.0
73,2720,7570,1.0
74,2780,2162,1.0
75,2800,4704,1.0
76,2810,4704,1.0
77,2820,4704,1.0
78,2840,4704,1.0
79,2850,4704,1.0
80,2870,4704,1.0
81,2900,14238,1.0
82,2910,14238,1.0
83,2920,14238,1.0
84,2990,2427,1.0
85,3010,15290,1.0
86,3020,15290,1.0
87,3050,15290,1.0
88,3130,49,1.0
89,3170,8268,1.0
90,3230,9861,1.0
91,3260,8360,1.0
92,3270,10061,1.0
93,3330,12172,1.0
94,3410,12172,1.0
95,3480,12172,1.0
96,3483,12172,1.0
97,3490,12896,1.0
98,3500,14391,1.0
99,3510,14391,1.0
100,3520,14391,1.0
101,3530,14391,1.0
102,3540,12172,1.0
103,3560,12172,1.0
104,3570,14391,1.0
105,3580,12172,1.0
106,3590,12172,1.0
107,3600,14391,1.0
108,3610,14391,1.0
109,3620,12172,1.0
110,3700,12693,1.0
111,3710,12693,1.0
112,3720,4783,1.0
113,3730,12693,1.0
114,3800,6288,1.0
115,3810,15355,1.0
116,3820,15355,1.0
117,3830,4328,1.0
118,3900,5382,1.0
119,3910,5382,1.0
120,3920,5382,1.0
121,3960,12178,1.0
122,3980,5382,0.5
123,3980,5398,0.5
124,3990,5382,1.0
125,4000,5187,1.0
126,4100,5813,1.0
127,4230,13887,1.0
128,4290,13887,1.0
129,4300,10481,1.0
130,4420,10251,1.0
131,4460,10251,1.0
132,4470,10251,1.0
133,4500,6550,1.0
134,4520,11505,1.0
135,4530,11505,1.0
136,4560,12832,1.0
137,4570,12832,1.0
138,4580,12832,1.0
139,4700,3371,0.3333333333333333
140,4700,5322,0.3333333333333333
141,4700,5323,0.3333333333333333
142,4720,10235,1.0
143,4760,3371,1.0
144,4770,15420,1.0
