ID_merge,appid,id_Publisher
1,10,13071
2,20,13071
3,30,13071
4,40,13071
5,50,13071
6,60,13071
7,70,13071
8,80,13071
9,130,13071
10,220,13071
11,240,13071
12,280,13071
13,300,13071
14,320,13071
15,340,13071
16,360,13071
17,380,13071
18,400,13071
19,420,13071
20,440,13071
21,500,13071
22,550,13071
23,570,13071
24,620,13071
25,630,13071
26,730,13071
27,1002,7602
28,1200,12775
29,1250,12775
30,1300,10365
31,1500,6114
32,1510,6114
33,1520,6114
34,1530,6114
35,1600,11690
36,1610,11690
37,1630,11690
38,1640,11690
39,1670,11690
40,1690,11690
41,1700,986
42,1840,13071
43,1900,381
44,1900,12642
45,1930,12642
46,2100,12897
47,2200,5836
48,2210,1460
49,2270,1462
50,2280,5836
51,2290,5836
52,2300,5836
53,2310,5836
54,2320,5836
55,2330,5836
56,2340,5836
57,2350,5836
58,2360,5836
59,2370,5836
60,2390,5836
61,2400,1692
62,2450,12897
63,2500,4608
64,2520,2416
65,2590,1789
66,2600,404
67,2610,404
68,2620,404
69,2630,404
70,2630,1073
71,2640,404
72,2710,12446
73,2720,1102
74,2780,1789
75,2800,3765
76,2810,3765
77,2820,3765
78,2840,3765
79,2850,3765
80,2870,3765
81,2900,11690
82,2910,11690
83,2920,11690
84,2990,11690
85,3010,12165
86,3020,12166
87,3050,12165
88,3130,100
89,3130,105
90,3170,100
91,3230,12446
92,3260,5384
93,3270,12446
94,3330,9667
95,3410,9667
96,3480,9667
97,3483,9667
98,3490,9667
99,3500,9667
100,3510,9667
101,3520,9667
102,3530,9667
103,3540,9667
104,3560,9667
105,3570,9667
106,3580,9667
107,3590,9667
108,3600,9667
109,3610,9667
110,3620,9667
111,3700,10107
112,3710,10107
113,3720,10107
114,3730,10107
115,3800,7519
116,3810,7519
117,3820,7519
118,3830,3475
119,3900,143
120,3910,143
121,3920,143
122,3960,143
123,3980,143
124,3990,143
125,4000,13071
126,4100,4664
127,4230,11066
128,4290,11066
129,4300,8322
130,4420,4431
131,4460,4431
132,4470,4431
133,4500,5282
134,4520,12446
135,4530,12446
136,4560,10825
137,4570,10825
138,4580,10825
139,4700,4232
140,4700,4233
141,4700,10825
142,4720,10825
143,4760,10825
144,4770,10825
145,4780,4232
146,4780,4233
147,4780,10825
148,4800,5282
149,4850,5283
150,4870,5283
151,4880,5283
152,4890,5283
153,4900,12977
154,4920,12977
