id_developer	developers
1	"""Ellie"""
2	#NOME?
3	#workshop
4	'What Day is it?' Games
5	(STCG) Smoker The Car Game
6	+7 Software
7	+Mpact Games, LLC.
8	.dat
9	.ez Games
10	.M.Y.W.
11	07th Expansion
12	08 Games
13	0Bennyman
14	0Cube
15	100 Plus Games llc
16	100 Stones Interactive
17	10101 Software
18	10Ants Hill
19	10ft Games
20	10ravens s.r.o.
21	10th Art Studio
22	10tons Ltd
23	10x10 Room
24	11 bit studios
25	11Sheep
26	12 East Games
27	12 Hit Combo
28	12 to 6 Studios LLC
29	12B3
30	13-lab
31	1337 & Senri AB
32	13AM Games
33	14 Dimension Enterprise
34	14 Hours Productions
35	14Dimension Enterprise
36	14� East
37	16 Bit Psych
38	16 Swans
39	16air
40	16bit Nights
41	17-BIT
42	17Studio
43	1812 Productions (PC Port)
44	1888 Games
45	18Light Game Ltd.
46	1939 Games
47	1bgame
48	1C Company
49	1C Entertainment
50	1C Game Studios
51	1C Wireless
52	1C-Avalon
53	1C-SoftClub
54	1C: Maddox Games
55	1C:InoCo
56	1CC Games
57	1MP
58	1st impact games
59	2 Bears Studio
60	2 Hit Studio
61	2 Monkeys
62	2 players
63	2 Zombie Games
64	2,000 Damage
65	2-Volt Games
66	2.0 Studios
67	2015
68	2020 Venture
69	2049VR
70	20letpast
71	21c.Ducks Co., Ltd.
72	22cans
73	25% Games
74	251 Games
75	2645turquoise
76	26k
77	2Awesome Studio
78	2B_GAMES
79	2BAD GAMES
80	2BDev
81	2Bit Studios
82	2by3 Games
83	2Chance Projects
84	2cute
85	2D BOY
86	2D Heroes
87	2DArray
88	2dengine
89	2DEngine.com
90	2DGameMania
91	2DHD
92	2Dog Games
93	2DragonsGames
94	2Frogs Software
95	2K Australia
96	2K Boston
97	2K China
98	2K Czech
99	2K Marin
100	2ndRevelation
101	2ndUp Studios
102	2Pi Interactive Pvt. Ltd.
103	2Play
104	2SD
105	2think design studio
106	2x2 Games
107	2XL Games
108	2xMilk
109	3 Core Studio
110	3 Fright
111	3 Minute Games
112	3 Sprockets
113	30.06 Studios Ltd
114	300 fps
115	3000AD
116	302 Interactive
117	3100 games
118	313 Studios
119	314 Arts
120	343 Industries
121	34BigThings srl
122	38 Studios
123	3acg
124	3Crew
125	3D ARTIST: JACOPO FILO DELLA TORRE
126	3D Avenue
127	3D FACTORY
128	3D Generation
129	3D Realms
130	3D Realms (Apogee Software)
131	3D Talo Finland
132	3D2 Entertainment
133	3DClouds.it
134	3DDUO
135	3Dflow SRL
136	3dinvis games
137	3DIQ
138	3Division
139	3f Interactive
140	3G:Games
141	3GoGames
142	3lb Games
143	3rd Eye Studios
144	3rd Eye Studios Oy LTD
145	3rdEye
146	3RISE
147	3X Entertainment Limited
148	3xBlast
149	3y3.net
150	4 Dimension Games
151	4 Door Lemon
152	4 Friends Games
153	4 Fun Studio
154	4 Fun Studio Inc.
155	4 Head Studios
156	4 I Lab
157	4-Panel Footprint
158	40Ggames
159	4188
160	48h Studio
161	49 Games
162	49??
163	4A Games
164	4AM Games
165	4Bit Games
166	4DMACAU
167	4EdgesGames
168	4FreaksFiction
169	4Friends Games
170	4Fufelz
171	4gency
172	4H StudioLab
173	4Head Studios
174	4M Software
175	4MB Interactive Ltd
176	4NetGames
177	4Realms
178	4sdk
179	4ShawGames
180	4th cluster
181	5 Bits Games
182	5 Lives Studios
183	51Pegasi Studios
184	55 Revolver
185	56 Game Studios
186	562 Interactive
187	5minlab
188	5pb
189	5pb.
190	5th Cell Media
191	5th Planet Games
192	5th VR
193	5Wolf
194	6 Eyes Studio
195	64k
196	651 GAMES
197	666999
198	68k Studios
199	6L6 Interactive
200	6waves
201	7 Box Games
202	7 Generation Games
203	7 Keys Studios
204	7 Raven Studios
205	7 Road
206	7 Seals
207	7 Soft Pillows
208	71Games
209	773
210	777 Studios
211	7DOTS
212	7K Games
213	7th Beat Games
214	7TPGames
215	8-bit development
216	8-bit development llc
217	800 North and Digital Ranch
218	80Arcade
219	8888888 LABS
220	88mm
221	89AM Studio
222	8bit
223	8D Studio
224	8Floor
225	8i
226	8monkey Labs
227	8th Floor Games
228	8th Shore, Inc.
229	9 Eyes Game Studio
230	90E GAMES
231	90Games
232	90s Studio
233	94 Games
234	971 Games
235	98DEMAKE
236	99 Game Studio
237	99Games Online Pvt. Ltd.
238	9heads Game Studios
239	9TH.ART
240	?
241	? Pyramid Games
242	? studio
243	??
244	?? DGSpitzer
245	?? RedSpring
246	??(K.)
247	??(TH Game)
248	??3??
249	???
250	??? ?????
251	??? Personal Studio
252	???(Junheng Liu)
253	???5
254	????
255	???? Astrolabe Draft
256	???? Blue Tea College
257	????/DAWNWING SHOP
258	????7in
259	?????
260	????? Hairgel Agency
261	??????
262	?????? ??????
263	?????? LittleV
264	??????(Yorunoatochi)
265	???????
266	??????? ?????????
267	???????(Free pleasure little yellow cat)
268	????????
269	?????????
270	????????? ?????????? ????????
271	??????????
272	?????????? ????
273	?????????? ?????
274	???????????
275	????????????
276	?????????????
277	??????????????
278	???????????????
279	???????Sugar
280	???????�
281	????PABL
282	????�Mirailogy Studio
283	???� (Miwashiba)
284	??PP314
285	?dev
286	?razy Creator
287	?smet Mert AVCI
288	?ukasz Jakowski
