id_Publisher	Publishers
1	
2	 
3	  Milestone S.r.l.
4	 ??????????
5	 AFBIK Studio
6	 Anea_Duo_Dev
7	 Asterion Games
8	 Aurora software
9	 AYE Technology
10	 BBB Games
11	 Big Fish Games
12	 Black Poodle Entertainment
13	 Boogygames Studios
14	 Dagestan Technology
15	 David J Ozsvath
16	 Droid Riot
17	 Expect Studio 
18	 Fazan
19	 FobTi interactive
20	 Fury Games Production
21	 Game for people
22	" Game for people	"
23	 GrabTheGames
24	" GungHo Online Entertainment America, Inc.	"
25	 HongbinGame
26	 I SHOW YOU
27	 Imbanova Entertainment Inc.
28	 Inertia Game Studios
29	 Maciej Targoni
30	 MariLuzaria
31	 Metal Fox
32	 Mirain Mainklain
33	 MyACG Studio
34	 Nekyau
35	 Nekyau Games
36	 Nikita Online
37	 NRVR Studios
38	 OnBlind
39	 Polina Medyanik
40	 Ragnar
41	 Ravio Karo
42	 RoBot
43	 Rotten Horse Games
44	 s_unk
45	 Sean Davy
46	 Silence Game
47	 singi
48	 SOFTSTAR TECHNOLOGY BEIJINGCOLTD
49	 Team Spieluhr
50	 The Idea Software
51	 Trueyuna Technology Co. Ltd.
52	 VeaTryzLon-ZeGod
53	 VisualArts
54	 VladProduction
55	 Volha
56	 Volokitin Andrey
57	 VR PrinceTechnology development Beijing Co. Ltd
58	 Wargaming Group Limited
59	 Yiming
60	 Zotdinex
61	!Lim studio
62	#NOME?
63	(none)
64	(STCG) Smoker The Car Game
65	+7 Software
66	+Mpact Games, LLC.
67	--
68	.ez Games
69	.M.Y.W.
70	0Cube
71	100 Plus Games llc
72	100 Stones Interactive
73	10101 Software
74	101XP
75	10Ants Hill
76	10ft Games
77	10ravens s.r.o.
78	10tons Ltd
79	10x10 Room
80	11 bit studios
81	11Sheep
82	12 East Games
83	12 to 6 Studios LLC
84	12B3
85	13-lab
86	13AM Games
87	13AM Shipping Solutions
88	14 Dimension Enterprise
89	14 Hours Productions
90	14Dimension Enterprise
91	16 Swans
92	16air
93	17-BIT
94	17Studio
95	1812 Productions
96	18Light Game Ltd.
97	1939 Games
98	1bgame
99	1C Company
100	1C Entertainment
101	1C Entertainment 
102	1C Game Studios
103	1C Online Games
104	1C-777
105	1C-SoftClub
106	1MP
107	1st impact games
108	2 Bad Design
109	2 Hit Studio
110	2 Zombie Games
111	2-Volt Games
112	2.0 Studios
113	2020 Venture
114	2049VR
115	20letpast
116	20Tab
117	20th Century Fox Film Corporation
118	22cans
119	25% Games
120	2645interactive
121	26k
122	2:30 AM Studios
123	2Awesome Studio
124	2axion
125	2B_GAMES
126	2BAD GAMES
127	2BDev
128	2Bit Studios
129	2Brains Games
130	2Chance Projects
131	2D BOY 
132	2D Heroes
133	2DArray
134	2dengine
135	2DGameMania
136	2DHD
137	2Dimensions
138	2Dog Games
139	2DragonsGames
140	2Dream
141	2ForallGames
142	2Frogs Software
143	2K
144	2ndDimensionGhost
145	2ndUp Studios
146	2Play
147	2tainment GmbH
148	2Tall Inc.
149	2x2 Games
150	2xMilk
151	3 Core Studio
152	3 Fright
153	3 Sprockets
154	3 Sprockets 
155	30/30
156	300 fps
157	3000AD
158	3100 games
159	313 Studios
160	314 Arts
161	33 Production
162	33ParadoX
163	34BigThings srl
164	38 Studios
165	3909
166	3acg
167	3BLACKDOT
168	3Crew
169	3D Avenue
170	3D FACTORY
171	3D Generation
172	3D Realms
173	3D Realms (Apogee Software)
174	3D Talo Finland Ltd.
175	3Dflow SRL
176	3dinvis games
177	3DIQ
178	3Division
179	3f Interactive
180	3G:Games
181	3GoGames
