id_info	appid	name	release_date	positive_ratings	negative_ratings
1	10	Counter-Strike                            	01/11/2000	124534	3339
2	20	Team Fortress Classic                     	01/04/1999	3318	633
3	30	Day of Defeat                             	01/05/2003	3416	398
4	40	Deathmatch Classic                        	01/06/2001	1273	267
5	50	Half-Life: Opposing Force                 	01/11/1999	5250	288
6	60	Ricochet                                  	01/11/2000	2758	684
7	70	Half-Life                                 	08/11/1998	27755	1100
8	80	Counter-Strike: Condition Zero            	01/03/2004	12120	1439
9	130	Half-Life: Blue Shift                     	01/06/2001	3822	420
10	220	Half-Life 2                               	16/11/2004	67902	2419
11	240	Counter-Strike: Source                    	01/11/2004	76640	3497
12	280	Half-Life: Source                         	01/06/2004	3767	1053
13	300	Day of Defeat: Source                     	12/07/2010	10489	1210
14	320	Half-Life 2: Deathmatch                   	01/11/2004	6020	787
15	340	Half-Life 2: Lost Coast                   	27/10/2005	5783	1020
16	360	Half-Life Deathmatch: Source              	01/05/2006	1362	473
17	380	Half-Life 2: Episode One                  	01/06/2006	7908	517
18	400	Portal                                    	10/10/2007	51801	1080
19	420	Half-Life 2: Episode Two                  	10/10/2007	13902	696
20	440	Team Fortress 2                           	10/10/2007	515879	34036
21	500	Left 4 Dead                               	17/11/2008	17951	948
22	550	Left 4 Dead 2                             	19/11/2009	251789	8418
23	570	Dota 2                                    	09/07/2013	863507	142079
24	620	Portal 2                                  	18/04/2011	138220	1891
25	630	Alien Swarm                               	19/07/2010	17435	941
26	730	Counter-Strike: Global Offensive          	21/08/2012	2644404	402313
27	1002	Rag Doll Kung Fu                          	12/10/2005	40	17
28	1200	Red Orchestra: Ostfront 41-45             	14/03/2006	1562	223
29	1250	Killing Floor                             	14/05/2009	53710	2649
30	1300	SiN Episodes: Emergence                   	10/05/2006	468	61
31	1500	Darwinia                                  	14/07/2005	472	158
32	1510	Uplink                                    	23/08/2006	1602	152
33	1520	DEFCON                                    	29/09/2006	2057	344
34	1530	Multiwinia                                	19/09/2008	368	75
35	1600	Dangerous Waters                          	07/02/2006	140	44
36	1610	Space Empires IV Deluxe                   	07/02/2006	112	26
37	1630	Disciples II: Rise of the Elves           	06/07/2006	451	108
38	1640	Disciples II: Gallean's Return            	06/07/2006	490	152
39	1670	Iron Warriors: T - 72 Tank Command        	26/07/2006	137	102
40	1690	Space Empires V                           	16/10/2006	191	85
41	1700	Arx Fatalis                               	03/04/2007	671	106
42	1840	Source Filmmaker                          	10/07/2012	15083	1111
43	1900	Earth 2160                                	01/04/2006	498	238
44	1930	Two Worlds Epic Edition                   	30/04/2009	2656	1055
45	2100	Dark Messiah of Might & Magic             	25/10/2006	4386	316
46	2200	Quake III Arena                           	03/08/2007	1362	66
47	2210	Quake IV                                  	04/08/2011	891	171
48	2270	Wolfenstein 3D                            	03/08/2007	1773	87
49	2280	Ultimate Doom                             	03/08/2007	3705	257
50	2290	Final DOOM                                	03/08/2007	573	82
51	2300	DOOM II                                   	03/08/2007	2517	182
52	2310	QUAKE                                     	03/08/2007	2618	136
53	2320	QUAKE II                                  	03/08/2007	1369	107
54	2330	QUAKE II Mission Pack: The Reckoning      	03/08/2007	65	12
55	2340	QUAKE II Mission Pack: Ground Zero        	03/08/2007	54	33
56	2350	QUAKE III: Team Arena                     	03/08/2007	108	31
57	2360	HeXen: Beyond Heretic                     	03/08/2007	249	26
58	2370	HeXen: Deathkings of the Dark Citadel     	03/08/2007	57	20
59	2390	Heretic: Shadow of the Serpent Riders     	03/08/2007	417	29
60	2400	The Ship: Murder Party                    	11/07/2006	4819	792
61	2450	Bloody Good Time                          	29/10/2010	662	204
62	2500	Shadowgrounds                             	08/05/2006	973	248
63	2520	Gumboy - Crazy Adventures�                	19/12/2006	52	46
64	2590	Alpha Prime                               	07/11/2007	610	523
65	2600	Vampire: The Masquerade - Bloodlines      	22/03/2007	6161	362
66	2610	GUN�                                      	13/10/2006	740	87
67	2620	Call of Duty�                             	13/10/2006	1555	117
68	2630	Call of Duty� 2                           	13/10/2006	2434	236
69	2640	Call of Duty: United Offensive            	13/10/2006	490	97
70	2710	Act of War: Direct Action                 	12/03/2008	180	33
